Title,Yes,A001
URL;Title,Yes,A002
URL;Title,Yes,A003
URL;Title,Yes,A004
URL,Yes,A005
Title,Yes,A006
Title,Yes,A007
Title,Yes,A008
Title,Yes,A009
Title,Yes,A009
URL;Title,Yes,A010
Title,Yes,A011
Title,Yes,A012
Title,Yes,A013
URL;Title,Yes,A014
URL;Title,Yes,A015
Title,Yes,A016
Title,Yes,A017
Title,Yes,A018
Title,Yes,A019
Title,Yes,A020
Title,Yes,A020
URL;Title,Yes,A021
Title,Yes,A022
Title,Yes,A023
URL;Title,Yes,A024
Title,Yes,A025
Title,Yes,A026
Title,Yes,A027
URL;Title,Yes,A028
URL;Title,Yes,A029
DOI;Title,Yes,A030
URL;Title,Yes,A031
DOI;Title,Yes,A032
URL;Title,Yes,A033
Title,Yes,A034
Title,Yes,A035
Title,Yes,A036
Title,Yes,A037
Title,Yes,A038
URL;Title,Yes,A039
Title,Yes,A040
Title,Yes,A041
DOI;Title,Yes,A042
Title,Yes,A043
Title,Yes,A044
Article Title; URL,Yes,A045
Original,NA,A046
Original,NA,A046
Original,NA,A046
Original,NA,A046
Original,NA,A046
Original,NA,A046
Original,NA,A046
Title,Yes,A047
Title,Yes,A048
Title,Yes,A049
Title,Yes,A050
Title,Yes,A051
URL;Title,Yes,A052
Title,Yes,A053
Title,Yes,A054
DOI;Title,Yes,A055
Title,Yes,A056
Title,Yes,A057
Title,Yes,A058
Title,Yes,A059
Title,Yes,A060
URL;Title,Yes,A061
URL;Title,Yes,A061
Title,Yes,A062
Title,Yes,A063
URL;Title,Yes,A064
Title,Yes,A065
Title,Yes,A066
Title,Yes,A067
Title,Yes,A068
Title,Yes,A069
Title,Yes,A070
URL;Title,Yes,A071
Original,RGNotInCitation,A072
Original,RGNotInCitation,A072
Title,Yes,A072
Original,RGNotInCitation,A072
Original,RGNotInCitation,A072
Title,No,A073
Title,Yes,A074
Original,RGNotInCitation,A075
Original,RGNotInCitation,A075
Original,RGNotInCitation,A075
Title,Yes,A075
Original,RGNotInCitation,A075
Original,RGNotInCitation,A075
Original,RGNotInCitation,A075
Original,RGNotInCitation,A075
Original,RGNotInCitation,A075
Title,Yes,A076
Original,RGNotInCitation,A077
